GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00034100989309,034100989309,REDDS CRANBERRY ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,11111111111,034100989309,REDDS BLACK CHERRY 6PK BTL
00038075206300,038075206300,VERDI PEACH SPARKLETINI MALT BEVERAGE 12/750ML,03807520630,038075206300,VERDI PEACH SPUMANTE 750ML
00082100738755,082100738755,ARBOR MIST PINK MOSCATO RASPBERRY 12/750ML,08210073875,082100738755,ARBOR MIST RASPBERRY MOSCATO 7
50085000024992,085000024997,BAREFOOT REFRESH ROSE SPRITZER 6/4/250ML CAN,85000024997,085000024997,W BFTRFSH ROSE SPRITZER 250ML
00071990170363,071990170363,COORS BEER 24 CT 12 OZ SHORTNECK BTTL IN BX 288 OZ,11111111111,071990170363,COORS STUBBY 24PK NR REPEAL
00071990301040,071990301040,COORS LIGHT BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,11111111111,071990301040,COORS LT 2/9 ALUM PINT BTL
00041498242565,041498242565,TAILSLIDE PINOT NOIR 750ML BOTTLE,11111111111,041498242565,ALDI TAILSLIDE PINOT NOIR 12/750
00867692000103,867692000103,72 AMERICAN PALE ALE,11111111111,867692000103,FIRST MAG 72 4/6 CAN
00083120004028,083120004028,OAK LEAF CAL CHARDONNAY 1.5 LTR,08312000402,083120004028,OAKLEAF CHARD 1.5L
10083120004025,083120004028,OAK LEAF CHARDONNAY 1.5L BOTTLE,08312000402,083120004028,OAKLEAF CHARD 1.5L
00894509008663,894509008663,DOMINANT SVN CA CABERNET SAUV 750 ML,89450900866,894509008663,DOMINANT SEVEN CAB 750ML
00085000021835,085000021835,LIBERTY CRK CAL MERLOT 1.5 LTR,08500002183,085000021835,LIBERTY CREEK MERLOT
00081308001326,081308001326,CUPCAKE PROSECCO SPARKLING 12/750ML BOTTLES,08130800132,081308001326,CUPCAKE PROSECCO 750ML
00086003254008,086003254008,COOPER & THF BB RED BLND/MRTG 750 ML,08600325400,086003254008,COOPER AND THIEF RED BL +14 750ML
00034100073411,034100073411,MILWAUKEES BEST LIGHT BEER 30 CT 12 OZ CAN IN BOX 360 OZ,03410007341,034100073411,BEST LT 30/12 OZ CAN
00012584320108,012584320108,OLIVER VINE SERIES CHERRY MOSCATO 12/750ML,01258432010,012584320108,OLIVER CHERRY MOSCATO TRAY PK
00085000017746,085000017746,APOTHIC RED 12/750ML,11111111111,085000017746,APOTHIC RED TRAY 12/750
00082242013741,082242013741,BOTA BOX NIGHTHAWK RED WINE BLEND 3/3L,08224201374,082242013741,BOTA BOX RED NIGHTHAWK BLK 3PK 3L
00087872632225,087872632225,STELLA ROSA BERRY MOSCATO 12/750ML,08787263222,087872632225,STELLA ROSA BERRY IL CONTE 750ML
00635985249856,635985249856,MIKES HARDER CRANBERRY LEMONADE MALT BEVERAGE 1 CT 24 OZ CAN 23.5 OZ,11111111111,635985249856,MIKES HRDR CRAN 24OZ
00088586001772,088586001772,14 HANDS MERLOT 12/750ML,08858600177,088586001772,14 HANDS MERLOT 750ML
00087692831020,087692831020,TWISTED TEA CARRIER 6X12OZ BOTTLES TWISTED TEA ORIGINAL,08769283102,087692831020,SAM TWS TEA  4/6 12 OZNR
00675829544051,675829544051,HIVE & HONEY MONTEREY COUNTY GEWURZTRAMINER 12/750ML BOTTLE,67582954402,675829544051,HIVE & HONEY GEWURZT    KROGER
